composite_key;id;word;no;german;czech
10379;379;lednička;1;Ich habe einen neuen Kühlschrank gekauft.;Koupil jsem novou ledničku.
20379;379;lednička;2;Die Tür des Kühlschranks ist offen.;Dveře ledničky jsou otevřené.
30379;379;lednička;3;Im Kühlschrank ist nichts.;V ledničce nic není.
40379;379;lednička;4;Ich bin mit dem alten Kühlschrank unzufrieden.;Jsem nespokojený se starou ledničkou.
10382;382;kuchyně;1;Ich sehe die neue Küche.;Vidím novou kuchyň.
20382;382;kuchyně;2;Die Tür der Küche ist offen.;Dveře kuchyně jsou otevřené.
30382;382;kuchyně;3;In der Küche riecht es gut.;V kuchyni voní dobře.
40382;382;kuchyně;4;Ich koche mit der modernen Küche.;Vařím s moderní kuchyní.
10383;383;koupelna;1;Ich putze die Badezimmer.;Uklízím koupelnu.
20383;383;koupelna;2;Die Tür der Badezimmer ist geschlossen.;Dveře koupelny jsou zavřené.
30383;383;koupelna;3;Im Badezimmer ist ein Spiegel.;V koupelně je zrcadlo.
40383;383;koupelna;4;Ich entspanne mich mit heißem Wasser in der Badezimmer.;Relaxuji si s teplou vodou v koupelně.
10458;458;myčka;1;Ich kaufe eine neue Spülmaschine.;Kupuji novou myčku.
20458;458;myčka;2;Die Tür der Spülmaschine ist offen.;Dveře myčky jsou otevřené.
30458;458;myčka;3;In der Spülmaschine sind schmutzige Teller.;V myčce jsou špinavé talíře.
40458;458;myčka;4;Ich spüle mit der Spülmaschine.;Mývám nádobí myčkou.
10387;387;zahrada;1;Ich sehe den schönen Garten.;Vidím krásnou zahradu.
20387;387;zahrada;2;Die Blumen des Gartens blühen.;Květiny zahrady kvetou.
30387;387;zahrada;3;Im Garten spiele ich mit den Kindern.;V zahradě si hraji s dětmi.
40387;387;zahrada;4;Ich arbeite mit dem Rasenmäher im Garten.;Pracuji se sekačkou v zahradě.
10406;406;sprcha;1;Ich nehme eine warme Dusche.;Beru jednu teplou sprchu.
20406;406;sprcha;2;Die Tür der Dusche ist aus Glas.;Dveře sprchy jsou ze skla.
30406;406;sprcha;3;In der Dusche singe ich gern.;V sprše rád zpívám.
40406;406;sprcha;4;Ich wasche mich mit der Dusche.;Myju se se sprchou.
10077;77;pokoj;1;Ich sehe den großen Raum.;Vidím velký pokoj.
20077;77;pokoj;2;Die Fenster des Zimmers sind offen.;Okna pokoje jsou otevřená.
